date,PCT EXCELLENT,PCT FAIR,PCT GOOD,PCT POOR,PCT VERY POOR
2015-05-01,0.0,15.0,85.0,0.0,0.0
2015-06-01,0.0,18.75,81.25,0.0,0.0
2015-07-01,0.0,24.375,75.625,0.0,0.0
2015-08-01,0.0,25.0,75.0,0.0,0.0
2015-09-01,0.0,24.375,75.625,0.0,0.0
2015-10-01,0.0,18.75,81.25,0.0,0.0
2015-11-01,0.0,0.0,100.0,0.0,0.0
2016-05-01,15.0,18.75,66.25,0.0,0.0
2016-06-01,3.375,3.25,93.375,0.0,0.0
2016-07-01,0.0,11.5,88.5,0.0,0.0
2016-08-01,0.0,40.5,58.375,1.125,0.0
2016-09-01,1.125,48.875,43.75,6.25,0.0
2016-10-01,2.0,48.1,42.0,7.9,0.0
2016-11-01,0.0,50.0,50.0,0.0,0.0
2017-05-01,10.0,10.0,80.0,0.0,0.0
2017-06-01,1.25,63.125,30.625,5.0,0.0
2017-07-01,13.5,6.0,80.5,0.0,0.0
2017-08-01,10.0,17.5,62.5,5.0,5.0
2017-09-01,10.0,21.25,63.75,2.5,2.5
2017-10-01,7.5,22.0,67.7,2.8,0.0
2017-11-01,10.0,10.0,80.0,0.0,0.0
2018-05-01,10.0,10.0,80.0,0.0,0.0
2018-06-01,6.625,13.75,79.625,0.0,0.0
2018-07-01,0.9,36.4,54.5,4.0,4.2
2018-08-01,0.0,34.375,38.125,13.75,13.75
2018-09-01,8.3,36.0,34.2,12.0,9.5
2018-10-01,3.625,42.25,36.5,12.0,5.625
2018-11-01,8.333333333333334,31.666666666666668,45.0,10.0,5.0
2019-06-01,30.5,8.5,61.0,0.0,0.0
2019-07-01,8.125,20.0,66.875,5.0,0.0
2019-08-01,7.5,21.875,68.125,2.5,0.0
2019-09-01,12.5,16.0,71.5,0.0,0.0
2019-10-01,13.125,8.125,78.75,0.0,0.0
2019-11-01,11.875,5.625,82.5,0.0,0.0
2020-05-01,0.0,95.0,0.0,5.0,0.0
2020-06-01,4.25,18.875,73.625,3.25,0.0
2020-07-01,5.0,7.5,87.5,0.0,0.0
2020-08-01,5.5,28.0,54.0,9.5,3.0
2020-09-01,3.875,22.375,49.125,17.25,7.375
2020-10-01,20.375,22.5,38.0,14.375,4.75
2020-11-01,23.6,18.0,49.8,6.6,2.0
2021-05-01,18.0,29.75,50.25,2.0,0.0
2021-06-01,20.0,24.125,55.875,0.0,0.0
2021-07-01,17.5,2.5,80.0,0.0,0.0
2021-08-01,37.3,4.5,58.2,0.0,0.0
2021-09-01,57.125,0.0,42.875,0.0,0.0
2021-10-01,63.5,0.625,35.875,0.0,0.0
2021-11-01,82.25,1.0,16.5,0.25,0.0
2022-05-01,0.0,0.0,100.0,0.0,0.0
2022-06-01,35.0,2.5,62.5,0.0,0.0
2022-07-01,32.9,6.0,60.1,1.0,0.0
2022-08-01,6.0,26.125,49.125,12.375,6.375
2022-09-01,3.0,46.25,37.75,10.5,2.5
2022-10-01,0.8,17.3,81.8,0.1,0.0
2022-11-01,0.0,16.25,83.75,0.0,0.0
2023-05-01,25.75,21.0,53.25,0.0,0.0
2023-06-01,27.625,10.875,61.5,0.0,0.0
2023-07-01,39.2,5.9,54.3,0.5,0.1
2023-08-01,43.125,0.875,55.5,0.5,0.0
2023-09-01,21.0,5.25,71.25,2.5,0.0
2023-10-01,10.2,19.3,66.4,4.1,0.0
2023-11-01,12.5,22.5,60.0,5.0,0.0
2024-05-01,0.0,100.0,0.0,0.0,0.0
2024-06-01,1.0,60.2,38.8,0.0,0.0
2024-07-01,15.25,14.25,67.625,2.875,0.0
2024-08-01,16.875,12.5,70.625,0.0,0.0
2024-09-01,14.8,8.5,76.2,0.5,0.0
2024-10-01,3.25,6.75,90.0,0.0,0.0
2024-11-01,5.0,15.0,77.5,2.5,0.0
