date,AWND,CLDD,EMNT,EMXT,HTDD,PRCP,SNOW,TAVG
2015-05-01,9.6,61.0,37.0,86.0,125.0,3.69,0.0,62.9
2015-06-01,8.5,116.0,46.0,87.0,75.0,5.35,0.0,66.4
2015-07-01,7.4,296.0,57.0,93.0,0.0,2.35,0.0,74.6
2015-08-01,7.8,307.0,58.0,91.0,0.0,2.78,0.0,74.9
2015-09-01,7.6,147.0,42.0,97.0,24.0,3.19,0.0,69.1
2015-10-01,8.9,0.0,30.0,75.0,351.0,2.8,0.0,53.7
2015-11-01,7.8,2.0,24.0,73.0,519.0,2.61,0.0,47.7
2016-05-01,8.9,48.0,40.0,91.0,222.0,3.18,0.0,59.4
2016-06-01,8.9,129.0,51.0,88.0,14.0,1.05,0.0,68.8
2016-07-01,8.3,340.0,58.0,94.0,0.0,3.95,0.0,76.0
2016-08-01,7.8,342.0,56.0,96.0,0.0,2.71,0.0,76.0
2016-09-01,8.5,144.0,42.0,92.0,46.0,2.74,0.0,68.3
2016-10-01,7.8,13.0,32.0,83.0,301.0,4.83,0.0,55.7
2016-11-01,8.1,0.0,30.0,71.0,557.0,3.46,0.0,46.4
2017-05-01,8.9,40.0,40.0,93.0,255.0,6.89,0.0,58.1
2017-06-01,9.4,164.0,47.0,95.0,51.0,4.27,0.0,68.8
2017-07-01,7.8,244.0,54.0,93.0,7.0,3.46,0.0,72.7
2017-08-01,7.4,214.0,54.0,91.0,1.0,1.46,0.0,71.9
2017-09-01,8.9,129.0,46.0,86.0,35.0,3.85,0.0,68.1
2017-10-01,8.3,39.0,38.0,84.0,158.0,5.44,0.0,61.1
2017-11-01,8.7,0.0,22.0,75.0,628.0,2.94,0.0,44.1
2018-05-01,8.3,64.0,43.0,91.0,124.0,2.33,0.0,63.0
2018-06-01,8.5,126.0,48.0,90.0,49.0,2.72,0.0,67.6
2018-07-01,8.5,328.0,55.0,95.0,0.0,1.31,0.0,75.6
2018-08-01,8.3,371.0,56.0,95.0,0.0,5.32,0.0,77.0
2018-09-01,7.6,132.0,48.0,95.0,53.0,7.81,0.0,67.6
2018-10-01,8.3,21.0,26.0,83.0,391.0,6.05,0.0,53.0
2018-11-01,9.2,0.0,13.0,68.0,708.0,10.57,6.0,41.4
2019-06-01,8.1,118.0,47.0,90.0,26.0,4.71,0.0,68.1
2019-07-01,7.4,360.0,60.0,96.0,0.0,3.47,0.0,76.6
2019-08-01,7.2,259.0,51.0,92.0,3.0,2.32,0.0,73.3
2019-09-01,7.6,71.0,45.0,85.0,45.0,1.17,0.0,65.9
2019-10-01,9.6,8.0,36.0,83.0,300.0,5.65,0.0,55.6
2019-11-01,8.7,0.0,18.0,71.0,735.0,2.74,0.0,40.5
2020-05-01,10.1,29.0,34.0,81.0,245.0,2.98,0.0,58.0
2020-06-01,7.8,170.0,42.0,91.0,22.0,2.61,0.0,69.9
2020-07-01,8.1,390.0,58.0,100.0,0.0,1.67,0.0,77.6
2020-08-01,8.3,330.0,54.0,94.0,0.0,1.71,0.0,75.6
2020-09-01,7.8,92.0,41.0,87.0,63.0,1.2,0.0,66.0
2020-10-01,7.4,6.0,24.0,77.0,306.0,5.67,1.6,55.3
2020-11-01,8.1,0.0,20.0,76.0,501.0,5.98,0.0,48.3
2021-05-01,8.9,37.0,43.0,90.0,195.0,4.65,0.0,59.9
2021-06-01,8.1,219.0,53.0,97.0,8.0,2.86,0.0,72.0
2021-07-01,7.2,251.0,55.0,92.0,7.0,7.12,0.0,72.9
2021-08-01,7.2,328.0,55.0,94.0,0.0,4.84,0.0,75.6
2021-09-01,8.3,115.0,50.0,86.0,15.0,5.19,0.0,68.3
2021-10-01,8.5,9.0,41.0,78.0,170.0,5.56,0.0,59.8
2021-11-01,7.4,0.0,23.0,71.0,626.0,2.3,0.0,44.1
2022-05-01,9.6,56.0,38.0,89.0,161.0,1.51,0.0,61.6
2022-06-01,7.8,116.0,52.0,89.0,13.0,4.99,0.0,68.4
2022-07-01,8.5,379.0,58.0,98.0,0.0,0.46,0.0,77.2
2022-08-01,8.1,372.0,57.0,98.0,0.0,1.7,0.0,77.0
2022-09-01,7.4,66.0,46.0,85.0,62.0,5.95,0.0,65.2
2022-10-01,8.1,4.0,32.0,77.0,300.0,5.85,0.0,55.5
2022-11-01,8.5,6.0,21.0,79.0,532.0,3.53,0.0,47.5
2023-05-01,8.7,9.0,33.0,84.0,253.0,3.5,0.0,57.1
2023-06-01,7.6,51.0,45.0,82.0,95.0,3.54,0.0,63.5
2023-07-01,7.2,315.0,59.0,89.0,0.0,8.37,0.0,75.2
2023-08-01,7.6,178.0,56.0,85.0,0.0,4.22,0.0,70.7
2023-09-01,8.1,130.0,44.0,92.0,72.0,6.82,0.0,66.9
2023-10-01,6.5,13.0,38.0,82.0,241.0,2.61,0.0,57.6
2023-11-01,7.4,0.0,21.0,66.0,707.0,2.89,0.0,41.4
2024-05-01,8.7,24.0,41.0,85.0,192.0,7.57,0.0,59.6
2024-06-01,8.3,175.0,53.0,93.0,7.0,5.71,0.0,70.6
2024-07-01,7.8,318.0,58.0,91.0,0.0,3.57,0.0,75.3
2024-08-01,6.9,194.0,52.0,91.0,5.0,4.85,0.0,71.1
2024-09-01,7.6,40.0,50.0,84.0,46.0,1.86,0.0,64.8
2024-10-01,6.9,0.0,32.0,81.0,300.0,0.98,0.0,55.3
2024-11-01,8.9,4.0,27.0,80.0,533.0,2.57,0.0,47.4
